number,fr_standard,fr_swiss,fr_belgian,is_vigesimal_std,structure_std
81,quatre-vingt-un,huitante et un,quatre-vingt et un,True,vigesimal
82,quatre-vingt-deux,huitante-deux,quatre-vingt-deux,True,vigesimal
83,quatre-vingt-trois,huitante-trois,quatre-vingt-trois,True,vigesimal
84,quatre-vingt-quatre,huitante-quatre,quatre-vingt-quatre,True,vigesimal
85,quatre-vingt-cinq,huitante-cinq,quatre-vingt-cinq,True,vigesimal
86,quatre-vingt-six,huitante-six,quatre-vingt-six,True,vigesimal
87,quatre-vingt-sept,huitante-sept,quatre-vingt-sept,True,vigesimal
88,quatre-vingt-huit,huitante-huit,quatre-vingt-huit,True,vigesimal
89,quatre-vingt-neuf,huitante-neuf,quatre-vingt-neuf,True,vigesimal
90,quatre-vingt-dix,nonante,nonante,True,vigesimal
91,quatre-vingt-onze,nonante et un,nonante et un,True,vigesimal
92,quatre-vingt-douze,nonante-deux,nonante-deux,True,vigesimal
93,quatre-vingt-treize,nonante-trois,nonante-trois,True,vigesimal
94,quatre-vingt-quatorze,nonante-quatre,nonante-quatre,True,vigesimal
95,quatre-vingt-quinze,nonante-cinq,nonante-cinq,True,vigesimal
96,quatre-vingt-seize,nonante-six,nonante-six,True,vigesimal
97,quatre-vingt-dix-sept,nonante-sept,nonante-sept,True,vigesimal
98,quatre-vingt-dix-huit,nonante-huit,nonante-huit,True,vigesimal
99,quatre-vingt-dix-neuf,nonante-neuf,nonante-neuf,True,vigesimal
100,cent,cent,cent,False,decimal
101,cent un,cent un,cent un,False,decimal
102,cent deux,cent deux,cent deux,False,decimal
103,cent trois,cent trois,cent trois,False,decimal
104,cent quatre,cent quatre,cent quatre,False,decimal
105,cent cinq,cent cinq,cent cinq,False,decimal
106,cent six,cent six,cent six,False,decimal
107,cent sept,cent sept,cent sept,False,decimal
108,cent huit,cent huit,cent huit,False,decimal
109,cent neuf,cent neuf,cent neuf,False,decimal
110,cent dix,cent dix,cent dix,False,decimal
111,cent onze,cent onze,cent onze,False,decimal
112,cent douze,cent douze,cent douze,False,decimal
113,cent treize,cent treize,cent treize,False,decimal
114,cent quatorze,cent quatorze,cent quatorze,False,decimal
115,cent quinze,cent quinze,cent quinze,False,decimal
116,cent seize,cent seize,cent seize,False,decimal
117,cent dix-sept,cent dix-sept,cent dix-sept,False,decimal
118,cent dix-huit,cent dix-huit,cent dix-huit,False,decimal
119,cent dix-neuf,cent dix-neuf,cent dix-neuf,False,decimal
120,cent vingt,cent vingt,cent vingt,False,decimal
121,cent vingt et un,cent vingt et un,cent vingt et un,False,decimal
122,cent vingt-deux,cent vingt-deux,cent vingt-deux,False,decimal
123,cent vingt-trois,cent vingt-trois,cent vingt-trois,False,decimal
124,cent vingt-quatre,cent vingt-quatre,cent vingt-quatre,False,decimal
125,cent vingt-cinq,cent vingt-cinq,cent vingt-cinq,False,decimal
126,cent vingt-six,cent vingt-six,cent vingt-six,False,decimal
127,cent vingt-sept,cent vingt-sept,cent vingt-sept,False,decimal
128,cent vingt-huit,cent vingt-huit,cent vingt-huit,False,decimal
129,cent vingt-neuf,cent vingt-neuf,cent vingt-neuf,False,decimal
130,cent trente,cent trente,cent trente,False,decimal
131,cent trente et un,cent trente et un,cent trente et un,False,decimal
132,cent trente-deux,cent trente-deux,cent trente-deux,False,decimal
133,cent trente-trois,cent trente-trois,cent trente-trois,False,decimal
134,cent trente-quatre,cent trente-quatre,cent trente-quatre,False,decimal
135,cent trente-cinq,cent trente-cinq,cent trente-cinq,False,decimal
136,cent trente-six,cent trente-six,cent trente-six,False,decimal
137,cent trente-sept,cent trente-sept,cent trente-sept,False,decimal
138,cent trente-huit,cent trente-huit,cent trente-huit,False,decimal
139,cent trente-neuf,cent trente-neuf,cent trente-neuf,False,decimal
140,cent quarante,cent quarante,cent quarante,False,decimal
141,cent quarante et un,cent quarante et un,cent quarante et un,False,decimal
142,cent quarante-deux,cent quarante-deux,cent quarante-deux,False,decimal
143,cent quarante-trois,cent quarante-trois,cent quarante-trois,False,decimal
144,cent quarante-quatre,cent quarante-quatre,cent quarante-quatre,False,decimal
145,cent quarante-cinq,cent quarante-cinq,cent quarante-cinq,False,decimal
146,cent quarante-six,cent quarante-six,cent quarante-six,False,decimal
147,cent quarante-sept,cent quarante-sept,cent quarante-sept,False,decimal
148,cent quarante-huit,cent quarante-huit,cent quarante-huit,False,decimal
149,cent quarante-neuf,cent quarante-neuf,cent quarante-neuf,False,decimal
150,cent cinquante,cent cinquante,cent cinquante,False,decimal
151,cent cinquante et un,cent cinquante et un,cent cinquante et un,False,decimal
152,cent cinquante-deux,cent cinquante-deux,cent cinquante-deux,False,decimal
153,cent cinquante-trois,cent cinquante-trois,cent cinquante-trois,False,decimal
154,cent cinquante-quatre,cent cinquante-quatre,cent cinquante-quatre,False,decimal
155,cent cinquante-cinq,cent cinquante-cinq,cent cinquante-cinq,False,decimal
156,cent cinquante-six,cent cinquante-six,cent cinquante-six,False,decimal
157,cent cinquante-sept,cent cinquante-sept,cent cinquante-sept,False,decimal
158,cent cinquante-huit,cent cinquante-huit,cent cinquante-huit,False,decimal
159,cent cinquante-neuf,cent cinquante-neuf,cent cinquante-neuf,False,decimal
160,cent soixante,cent soixante,cent soixante,False,decimal
161,cent soixante et un,cent soixante et un,cent soixante et un,False,decimal
162,cent soixante-deux,cent soixante-deux,cent soixante-deux,False,decimal
163,cent soixante-trois,cent soixante-trois,cent soixante-trois,False,decimal
164,cent soixante-quatre,cent soixante-quatre,cent soixante-quatre,False,decimal
165,cent soixante-cinq,cent soixante-cinq,cent soixante-cinq,False,decimal
166,cent soixante-six,cent soixante-six,cent soixante-six,False,decimal
167,cent soixante-sept,cent soixante-sept,cent soixante-sept,False,decimal
168,cent soixante-huit,cent soixante-huit,cent soixante-huit,False,decimal
169,cent soixante-neuf,cent soixante-neuf,cent soixante-neuf,False,decimal
170,cent soixante-dix,cent septante,cent septante,False,decimal
171,cent soixante et onze,cent septante et un,cent septante et un,False,decimal
172,cent soixante-douze,cent septante-deux,cent septante-deux,False,decimal
173,cent soixante-treize,cent septante-trois,cent septante-trois,False,decimal
174,cent soixante-quatorze,cent septante-quatre,cent septante-quatre,False,decimal
175,cent soixante-quinze,cent septante-cinq,cent septante-cinq,False,decimal
176,cent soixante-seize,cent septante-six,cent septante-six,False,decimal
177,cent soixante-dix-sept,cent septante-sept,cent septante-sept,False,decimal
178,cent soixante-dix-huit,cent septante-huit,cent septante-huit,False,decimal
179,cent soixante-dix-neuf,cent septante-neuf,cent septante-neuf,False,decimal
180,cent quatre-vingts,cent huitante,cent quatre-vingt,False,decimal
181,cent quatre-vingt-un,cent huitante et un,cent quatre-vingt et un,False,decimal
182,cent quatre-vingt-deux,cent huitante-deux,cent quatre-vingt-deux,False,decimal
183,cent quatre-vingt-trois,cent huitante-trois,cent quatre-vingt-trois,False,decimal
184,cent quatre-vingt-quatre,cent huitante-quatre,cent quatre-vingt-quatre,False,decimal
185,cent quatre-vingt-cinq,cent huitante-cinq,cent quatre-vingt-cinq,False,decimal
186,cent quatre-vingt-six,cent huitante-six,cent quatre-vingt-six,False,decimal
187,cent quatre-vingt-sept,cent huitante-sept,cent quatre-vingt-sept,False,decimal
188,cent quatre-vingt-huit,cent huitante-huit,cent quatre-vingt-huit,False,decimal
189,cent quatre-vingt-neuf,cent huitante-neuf,cent quatre-vingt-neuf,False,decimal
190,cent quatre-vingt-dix,cent nonante,cent nonante,False,decimal
191,cent quatre-vingt-onze,cent nonante et un,cent nonante et un,False,decimal
192,cent quatre-vingt-douze,cent nonante-deux,cent nonante-deux,False,decimal
193,cent quatre-vingt-treize,cent nonante-trois,cent nonante-trois,False,decimal
194,cent quatre-vingt-quatorze,cent nonante-quatre,cent nonante-quatre,False,decimal
195,cent quatre-vingt-quinze,cent nonante-cinq,cent nonante-cinq,False,decimal
196,cent quatre-vingt-seize,cent nonante-six,cent nonante-six,False,decimal
197,cent quatre-vingt-dix-sept,cent nonante-sept,cent nonante-sept,False,decimal
198,cent quatre-vingt-dix-huit,cent nonante-huit,cent nonante-huit,False,decimal
199,cent quatre-vingt-dix-neuf,cent nonante-neuf,cent nonante-neuf,False,decimal
200,deux cents,deux cents,deux cents,False,decimal
201,deux cent un,deux cents un,deux cents un,False,decimal
202,deux cent deux,deux cents deux,deux cents deux,False,decimal
203,deux cent trois,deux cents trois,deux cents trois,False,decimal
204,deux cent quatre,deux cents quatre,deux cents quatre,False,decimal
205,deux cent cinq,deux cents cinq,deux cents cinq,False,decimal
206,deux cent six,deux cents six,deux cents six,False,decimal
207,deux cent sept,deux cents sept,deux cents sept,False,decimal
208,deux cent huit,deux cents huit,deux cents huit,False,decimal
209,deux cent neuf,deux cents neuf,deux cents neuf,False,decimal
210,deux cent dix,deux cents dix,deux cents dix,False,decimal
211,deux cent onze,deux cents onze,deux cents onze,False,decimal
212,deux cent douze,deux cents douze,deux cents douze,False,decimal
213,deux cent treize,deux cents treize,deux cents treize,False,decimal
214,deux cent quatorze,deux cents quatorze,deux cents quatorze,False,decimal
215,deux cent quinze,deux cents quinze,deux cents quinze,False,decimal
216,deux cent seize,deux cents seize,deux cents seize,False,decimal
217,deux cent dix-sept,deux cents dix-sept,deux cents dix-sept,False,decimal
218,deux cent dix-huit,deux cents dix-huit,deux cents dix-huit,False,decimal
219,deux cent dix-neuf,deux cents dix-neuf,deux cents dix-neuf,False,decimal
220,deux cent vingt,deux cents vingt,deux cents vingt,False,decimal
221,deux cent vingt et un,deux cents vingt et un,deux cents vingt et un,False,decimal
222,deux cent vingt-deux,deux cents vingt-deux,deux cents vingt-deux,False,decimal
223,deux cent vingt-trois,deux cents vingt-trois,deux cents vingt-trois,False,decimal
224,deux cent vingt-quatre,deux cents vingt-quatre,deux cents vingt-quatre,False,decimal
225,deux cent vingt-cinq,deux cents vingt-cinq,deux cents vingt-cinq,False,decimal
226,deux cent vingt-six,deux cents vingt-six,deux cents vingt-six,False,decimal
227,deux cent vingt-sept,deux cents vingt-sept,deux cents vingt-sept,False,decimal
228,deux cent vingt-huit,deux cents vingt-huit,deux cents vingt-huit,False,decimal
229,deux cent vingt-neuf,deux cents vingt-neuf,deux cents vingt-neuf,False,decimal
230,deux cent trente,deux cents trente,deux cents trente,False,decimal
231,deux cent trente et un,deux cents trente et un,deux cents trente et un,False,decimal
232,deux cent trente-deux,deux cents trente-deux,deux cents trente-deux,False,decimal
233,deux cent trente-trois,deux cents trente-trois,deux cents trente-trois,False,decimal
234,deux cent trente-quatre,deux cents trente-quatre,deux cents trente-quatre,False,decimal
235,deux cent trente-cinq,deux cents trente-cinq,deux cents trente-cinq,False,decimal
236,deux cent trente-six,deux cents trente-six,deux cents trente-six,False,decimal
237,deux cent trente-sept,deux cents trente-sept,deux cents trente-sept,False,decimal
238,deux cent trente-huit,deux cents trente-huit,deux cents trente-huit,False,decimal
239,deux cent trente-neuf,deux cents trente-neuf,deux cents trente-neuf,False,decimal
240,deux cent quarante,deux cents quarante,deux cents quarante,False,decimal
241,deux cent quarante et un,deux cents quarante et un,deux cents quarante et un,False,decimal
242,deux cent quarante-deux,deux cents quarante-deux,deux cents quarante-deux,False,decimal
243,deux cent quarante-trois,deux cents quarante-trois,deux cents quarante-trois,False,decimal
244,deux cent quarante-quatre,deux cents quarante-quatre,deux cents quarante-quatre,False,decimal
245,deux cent quarante-cinq,deux cents quarante-cinq,deux cents quarante-cinq,False,decimal
246,deux cent quarante-six,deux cents quarante-six,deux cents quarante-six,False,decimal
247,deux cent quarante-sept,deux cents quarante-sept,deux cents quarante-sept,False,decimal
248,deux cent quarante-huit,deux cents quarante-huit,deux cents quarante-huit,False,decimal
249,deux cent quarante-neuf,deux cents quarante-neuf,deux cents quarante-neuf,False,decimal
250,deux cent cinquante,deux cents cinquante,deux cents cinquante,False,decimal
251,deux cent cinquante et un,deux cents cinquante et un,deux cents cinquante et un,False,decimal
252,deux cent cinquante-deux,deux cents cinquante-deux,deux cents cinquante-deux,False,decimal
253,deux cent cinquante-trois,deux cents cinquante-trois,deux cents cinquante-trois,False,decimal
254,deux cent cinquante-quatre,deux cents cinquante-quatre,deux cents cinquante-quatre,False,decimal
255,deux cent cinquante-cinq,deux cents cinquante-cinq,deux cents cinquante-cinq,False,decimal
256,deux cent cinquante-six,deux cents cinquante-six,deux cents cinquante-six,False,decimal
257,deux cent cinquante-sept,deux cents cinquante-sept,deux cents cinquante-sept,False,decimal
258,deux cent cinquante-huit,deux cents cinquante-huit,deux cents cinquante-huit,False,decimal
259,deux cent cinquante-neuf,deux cents cinquante-neuf,deux cents cinquante-neuf,False,decimal
260,deux cent soixante,deux cents soixante,deux cents soixante,False,decimal
261,deux cent soixante et un,deux cents soixante et un,deux cents soixante et un,False,decimal
262,deux cent soixante-deux,deux cents soixante-deux,deux cents soixante-deux,False,decimal
263,deux cent soixante-trois,deux cents soixante-trois,deux cents soixante-trois,False,decimal
264,deux cent soixante-quatre,deux cents soixante-quatre,deux cents soixante-quatre,False,decimal
265,deux cent soixante-cinq,deux cents soixante-cinq,deux cents soixante-cinq,False,decimal
266,deux cent soixante-six,deux cents soixante-six,deux cents soixante-six,False,decimal
267,deux cent soixante-sept,deux cents soixante-sept,deux cents soixante-sept,False,decimal
268,deux cent soixante-huit,deux cents soixante-huit,deux cents soixante-huit,False,decimal
269,deux cent soixante-neuf,deux cents soixante-neuf,deux cents soixante-neuf,False,decimal
270,deux cent soixante-dix,deux cents septante,deux cents septante,False,decimal
271,deux cent soixante et onze,deux cents septante et un,deux cents septante et un,False,decimal
272,deux cent soixante-douze,deux cents septante-deux,deux cents septante-deux,False,decimal
273,deux cent soixante-treize,deux cents septante-trois,deux cents septante-trois,False,decimal
274,deux cent soixante-quatorze,deux cents septante-quatre,deux cents septante-quatre,False,decimal
275,deux cent soixante-quinze,deux cents septante-cinq,deux cents septante-cinq,False,decimal
276,deux cent soixante-seize,deux cents septante-six,deux cents septante-six,False,decimal
277,deux cent soixante-dix-sept,deux cents septante-sept,deux cents septante-sept,False,decimal
278,deux cent soixante-dix-huit,deux cents septante-huit,deux cents septante-huit,False,decimal
279,deux cent soixante-dix-neuf,deux cents septante-neuf,deux cents septante-neuf,False,decimal
280,deux cent quatre-vingts,deux cents huitante,deux cents quatre-vingt,False,decimal
281,deux cent quatre-vingt-un,deux cents huitante et un,deux cents quatre-vingt et un,False,decimal
282,deux cent quatre-vingt-deux,deux cents huitante-deux,deux cents quatre-vingt-deux,False,decimal
283,deux cent quatre-vingt-trois,deux cents huitante-trois,deux cents quatre-vingt-trois,False,decimal
284,deux cent quatre-vingt-quatre,deux cents huitante-quatre,deux cents quatre-vingt-quatre,False,decimal
285,deux cent quatre-vingt-cinq,deux cents huitante-cinq,deux cents quatre-vingt-cinq,False,decimal
286,deux cent quatre-vingt-six,deux cents huitante-six,deux cents quatre-vingt-six,False,decimal
287,deux cent quatre-vingt-sept,deux cents huitante-sept,deux cents quatre-vingt-sept,False,decimal
288,deux cent quatre-vingt-huit,deux cents huitante-huit,deux cents quatre-vingt-huit,False,decimal
289,deux cent quatre-vingt-neuf,deux cents huitante-neuf,deux cents quatre-vingt-neuf,False,decimal
290,deux cent quatre-vingt-dix,deux cents nonante,deux cents nonante,False,decimal
291,deux cent quatre-vingt-onze,deux cents nonante et un,deux cents nonante et un,False,decimal
292,deux cent quatre-vingt-douze,deux cents nonante-deux,deux cents nonante-deux,False,decimal
293,deux cent quatre-vingt-treize,deux cents nonante-trois,deux cents nonante-trois,False,decimal
294,deux cent quatre-vingt-quatorze,deux cents nonante-quatre,deux cents nonante-quatre,False,decimal
295,deux cent quatre-vingt-quinze,deux cents nonante-cinq,deux cents nonante-cinq,False,decimal
296,deux cent quatre-vingt-seize,deux cents nonante-six,deux cents nonante-six,False,decimal
297,deux cent quatre-vingt-dix-sept,deux cents nonante-sept,deux cents nonante-sept,False,decimal
298,deux cent quatre-vingt-dix-huit,deux cents nonante-huit,deux cents nonante-huit,False,decimal
299,deux cent quatre-vingt-dix-neuf,deux cents nonante-neuf,deux cents nonante-neuf,False,decimal
300,trois cents,trois cents,trois cents,False,decimal
301,trois cent un,trois cents un,trois cents un,False,decimal
302,trois cent deux,trois cents deux,trois cents deux,False,decimal
303,trois cent trois,trois cents trois,trois cents trois,False,decimal
304,trois cent quatre,trois cents quatre,trois cents quatre,False,decimal
305,trois cent cinq,trois cents cinq,trois cents cinq,False,decimal
306,trois cent six,trois cents six,trois cents six,False,decimal
307,trois cent sept,trois cents sept,trois cents sept,False,decimal
308,trois cent huit,trois cents huit,trois cents huit,False,decimal
309,trois cent neuf,trois cents neuf,trois cents neuf,False,decimal
310,trois cent dix,trois cents dix,trois cents dix,False,decimal
311,trois cent onze,trois cents onze,trois cents onze,False,decimal
312,trois cent douze,trois cents douze,trois cents douze,False,decimal
313,trois cent treize,trois cents treize,trois cents treize,False,decimal
314,trois cent quatorze,trois cents quatorze,trois cents quatorze,False,decimal
315,trois cent quinze,trois cents quinze,trois cents quinze,False,decimal
316,trois cent seize,trois cents seize,trois cents seize,False,decimal
317,trois cent dix-sept,trois cents dix-sept,trois cents dix-sept,False,decimal
318,trois cent dix-huit,trois cents dix-huit,trois cents dix-huit,False,decimal
319,trois cent dix-neuf,trois cents dix-neuf,trois cents dix-neuf,False,decimal
320,trois cent vingt,trois cents vingt,trois cents vingt,False,decimal
321,trois cent vingt et un,trois cents vingt et un,trois cents vingt et un,False,decimal
322,trois cent vingt-deux,trois cents vingt-deux,trois cents vingt-deux,False,decimal
323,trois cent vingt-trois,trois cents vingt-trois,trois cents vingt-trois,False,decimal
324,trois cent vingt-quatre,trois cents vingt-quatre,trois cents vingt-quatre,False,decimal
325,trois cent vingt-cinq,trois cents vingt-cinq,trois cents vingt-cinq,False,decimal
326,trois cent vingt-six,trois cents vingt-six,trois cents vingt-six,False,decimal
327,trois cent vingt-sept,trois cents vingt-sept,trois cents vingt-sept,False,decimal
328,trois cent vingt-huit,trois cents vingt-huit,trois cents vingt-huit,False,decimal
329,trois cent vingt-neuf,trois cents vingt-neuf,trois cents vingt-neuf,False,decimal
330,trois cent trente,trois cents trente,trois cents trente,False,decimal
331,trois cent trente et un,trois cents trente et un,trois cents trente et un,False,decimal
332,trois cent trente-deux,trois cents trente-deux,trois cents trente-deux,False,decimal
333,trois cent trente-trois,trois cents trente-trois,trois cents trente-trois,False,decimal
334,trois cent trente-quatre,trois cents trente-quatre,trois cents trente-quatre,False,decimal
335,trois cent trente-cinq,trois cents trente-cinq,trois cents trente-cinq,False,decimal
336,trois cent trente-six,trois cents trente-six,trois cents trente-six,False,decimal
337,trois cent trente-sept,trois cents trente-sept,trois cents trente-sept,False,decimal
338,trois cent trente-huit,trois cents trente-huit,trois cents trente-huit,False,decimal
339,trois cent trente-neuf,trois cents trente-neuf,trois cents trente-neuf,False,decimal
340,trois cent quarante,trois cents quarante,trois cents quarante,False,decimal
341,trois cent quarante et un,trois cents quarante et un,trois cents quarante et un,False,decimal
342,trois cent quarante-deux,trois cents quarante-deux,trois cents quarante-deux,False,decimal
343,trois cent quarante-trois,trois cents quarante-trois,trois cents quarante-trois,False,decimal
344,trois cent quarante-quatre,trois cents quarante-quatre,trois cents quarante-quatre,False,decimal
345,trois cent quarante-cinq,trois cents quarante-cinq,trois cents quarante-cinq,False,decimal
346,trois cent quarante-six,trois cents quarante-six,trois cents quarante-six,False,decimal
347,trois cent quarante-sept,trois cents quarante-sept,trois cents quarante-sept,False,decimal
348,trois cent quarante-huit,trois cents quarante-huit,trois cents quarante-huit,False,decimal
349,trois cent quarante-neuf,trois cents quarante-neuf,trois cents quarante-neuf,False,decimal
350,trois cent cinquante,trois cents cinquante,trois cents cinquante,False,decimal
351,trois cent cinquante et un,trois cents cinquante et un,trois cents cinquante et un,False,decimal
352,trois cent cinquante-deux,trois cents cinquante-deux,trois cents cinquante-deux,False,decimal
353,trois cent cinquante-trois,trois cents cinquante-trois,trois cents cinquante-trois,False,decimal
354,trois cent cinquante-quatre,trois cents cinquante-quatre,trois cents cinquante-quatre,False,decimal
355,trois cent cinquante-cinq,trois cents cinquante-cinq,trois cents cinquante-cinq,False,decimal
356,trois cent cinquante-six,trois cents cinquante-six,trois cents cinquante-six,False,decimal
357,trois cent cinquante-sept,trois cents cinquante-sept,trois cents cinquante-sept,False,decimal
358,trois cent cinquante-huit,trois cents cinquante-huit,trois cents cinquante-huit,False,decimal
359,trois cent cinquante-neuf,trois cents cinquante-neuf,trois cents cinquante-neuf,False,decimal
360,trois cent soixante,trois cents soixante,trois cents soixante,False,decimal
361,trois cent soixante et un,trois cents soixante et un,trois cents soixante et un,False,decimal
362,trois cent soixante-deux,trois cents soixante-deux,trois cents soixante-deux,False,decimal
363,trois cent soixante-trois,trois cents soixante-trois,trois cents soixante-trois,False,decimal
364,trois cent soixante-quatre,trois cents soixante-quatre,trois cents soixante-quatre,False,decimal
365,trois cent soixante-cinq,trois cents soixante-cinq,trois cents soixante-cinq,False,decimal
366,trois cent soixante-six,trois cents soixante-six,trois cents soixante-six,False,decimal
367,trois cent soixante-sept,trois cents soixante-sept,trois cents soixante-sept,False,decimal
368,trois cent soixante-huit,trois cents soixante-huit,trois cents soixante-huit,False,decimal
369,trois cent soixante-neuf,trois cents soixante-neuf,trois cents soixante-neuf,False,decimal
370,trois cent soixante-dix,trois cents septante,trois cents septante,False,decimal
371,trois cent soixante et onze,trois cents septante et un,trois cents septante et un,False,decimal
372,trois cent soixante-douze,trois cents septante-deux,trois cents septante-deux,False,decimal
373,trois cent soixante-treize,trois cents septante-trois,trois cents septante-trois,False,decimal
374,trois cent soixante-quatorze,trois cents septante-quatre,trois cents septante-quatre,False,decimal
375,trois cent soixante-quinze,trois cents septante-cinq,trois cents septante-cinq,False,decimal
376,trois cent soixante-seize,trois cents septante-six,trois cents septante-six,False,decimal
377,trois cent soixante-dix-sept,trois cents septante-sept,trois cents septante-sept,False,decimal
378,trois cent soixante-dix-huit,trois cents septante-huit,trois cents septante-huit,False,decimal
379,trois cent soixante-dix-neuf,trois cents septante-neuf,trois cents septante-neuf,False,decimal
380,trois cent quatre-vingts,trois cents huitante,trois cents quatre-vingt,False,decimal
381,trois cent quatre-vingt-un,trois cents huitante et un,trois cents quatre-vingt et un,False,decimal
382,trois cent quatre-vingt-deux,trois cents huitante-deux,trois cents quatre-vingt-deux,False,decimal
383,trois cent quatre-vingt-trois,trois cents huitante-trois,trois cents quatre-vingt-trois,False,decimal
384,trois cent quatre-vingt-quatre,trois cents huitante-quatre,trois cents quatre-vingt-quatre,False,decimal
385,trois cent quatre-vingt-cinq,trois cents huitante-cinq,trois cents quatre-vingt-cinq,False,decimal
386,trois cent quatre-vingt-six,trois cents huitante-six,trois cents quatre-vingt-six,False,decimal
387,trois cent quatre-vingt-sept,trois cents huitante-sept,trois cents quatre-vingt-sept,False,decimal
388,trois cent quatre-vingt-huit,trois cents huitante-huit,trois cents quatre-vingt-huit,False,decimal
389,trois cent quatre-vingt-neuf,trois cents huitante-neuf,trois cents quatre-vingt-neuf,False,decimal
390,trois cent quatre-vingt-dix,trois cents nonante,trois cents nonante,False,decimal
391,trois cent quatre-vingt-onze,trois cents nonante et un,trois cents nonante et un,False,decimal
392,trois cent quatre-vingt-douze,trois cents nonante-deux,trois cents nonante-deux,False,decimal
393,trois cent quatre-vingt-treize,trois cents nonante-trois,trois cents nonante-trois,False,decimal
394,trois cent quatre-vingt-quatorze,trois cents nonante-quatre,trois cents nonante-quatre,False,decimal
