number,fr_standard,fr_swiss,fr_belgian,is_vigesimal_std,structure_std,tokens_std_gpt-4o (o200k_base),tokens_swiss_gpt-4o (o200k_base),token_diff_gpt-4o (o200k_base),tokens_std_gpt-4/3.5 (cl100k_base),tokens_swiss_gpt-4/3.5 (cl100k_base),token_diff_gpt-4/3.5 (cl100k_base),tokens_std_gpt-3 (p50k_base),tokens_swiss_gpt-3 (p50k_base),token_diff_gpt-3 (p50k_base),tokens_std_llama-3,tokens_swiss_llama-3,token_diff_llama-3,tokens_std_mistral,tokens_swiss_mistral,token_diff_mistral
40,quarante,quarante,quarante,False,decimal,2,2,0,3,3,0,3,3,0,2,2,0,2,2,0
41,quarante et un,quarante et un,quarante et un,False,decimal,4,4,0,5,5,0,5,5,0,4,4,0,4,4,0
42,quarante-deux,quarante-deux,quarante-deux,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,5,5,0
43,quarante-trois,quarante-trois,quarante-trois,False,decimal,5,5,0,6,6,0,6,6,0,6,6,0,6,6,0
44,quarante-quatre,quarante-quatre,quarante-quatre,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,5,5,0
45,quarante-cinq,quarante-cinq,quarante-cinq,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,5,5,0
46,quarante-six,quarante-six,quarante-six,False,decimal,3,3,0,4,4,0,5,5,0,4,4,0,4,4,0
47,quarante-sept,quarante-sept,quarante-sept,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,5,5,0
48,quarante-huit,quarante-huit,quarante-huit,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,5,5,0
49,quarante-neuf,quarante-neuf,quarante-neuf,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,5,5,0
50,cinquante,cinquante,cinquante,False,decimal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
51,cinquante et un,cinquante et un,cinquante et un,False,decimal,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0
52,cinquante-deux,cinquante-deux,cinquante-deux,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
53,cinquante-trois,cinquante-trois,cinquante-trois,False,decimal,6,6,0,6,6,0,6,6,0,7,7,0,7,7,0
54,cinquante-quatre,cinquante-quatre,cinquante-quatre,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
55,cinquante-cinq,cinquante-cinq,cinquante-cinq,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
56,cinquante-six,cinquante-six,cinquante-six,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,5,5,0
57,cinquante-sept,cinquante-sept,cinquante-sept,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
58,cinquante-huit,cinquante-huit,cinquante-huit,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
59,cinquante-neuf,cinquante-neuf,cinquante-neuf,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
60,soixante,soixante,soixante,False,decimal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
61,soixante et un,soixante et un,soixante et un,False,decimal,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0
62,soixante-deux,soixante-deux,soixante-deux,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
63,soixante-trois,soixante-trois,soixante-trois,False,decimal,6,6,0,6,6,0,6,6,0,7,7,0,7,7,0
64,soixante-quatre,soixante-quatre,soixante-quatre,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
65,soixante-cinq,soixante-cinq,soixante-cinq,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
66,soixante-six,soixante-six,soixante-six,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,5,5,0
67,soixante-sept,soixante-sept,soixante-sept,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
68,soixante-huit,soixante-huit,soixante-huit,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
69,soixante-neuf,soixante-neuf,soixante-neuf,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
70,soixante-dix,septante,septante,True,vigesimal,5,2,3,5,3,2,6,3,3,6,2,4,6,2,4
71,soixante et onze,septante et un,septante et un,True,vigesimal,5,4,1,5,5,0,6,5,1,6,4,2,6,4,2
72,soixante-douze,septante-deux,septante-deux,True,vigesimal,6,4,2,6,5,1,7,6,1,7,5,2,7,5,2
73,soixante-treize,septante-trois,septante-trois,True,vigesimal,6,5,1,6,6,0,6,6,0,6,6,0,6,6,0
74,soixante-quatorze,septante-quatre,septante-quatre,True,vigesimal,6,4,2,6,5,1,7,6,1,7,5,2,7,5,2
75,soixante-quinze,septante-cinq,septante-cinq,True,vigesimal,6,4,2,6,5,1,6,6,0,6,5,1,6,5,1
76,soixante-seize,septante-six,septante-six,True,vigesimal,5,3,2,5,4,1,6,5,1,6,4,2,6,4,2
77,soixante-dix-sept,septante-sept,septante-sept,True,vigesimal,7,4,3,7,5,2,9,6,3,9,5,4,9,5,4
78,soixante-dix-huit,septante-huit,septante-huit,True,vigesimal,7,4,3,7,5,2,9,6,3,9,5,4,9,5,4
79,soixante-dix-neuf,septante-neuf,septante-neuf,True,vigesimal,7,4,3,7,5,2,9,6,3,9,5,4,9,5,4
80,quatre-vingts,huitante,quatre-vingt,True,vigesimal,5,3,2,5,3,2,5,3,2,4,2,2,4,3,1
81,quatre-vingt-un,huitante et un,quatre-vingt et un,True,vigesimal,6,5,1,6,5,1,7,5,2,6,4,2,6,5,1
82,quatre-vingt-deux,huitante-deux,quatre-vingt-deux,True,vigesimal,7,5,2,7,5,2,8,6,2,7,5,2,7,6,1
83,quatre-vingt-trois,huitante-trois,quatre-vingt-trois,True,vigesimal,8,6,2,8,6,2,8,6,2,8,6,2,8,7,1
84,quatre-vingt-quatre,huitante-quatre,quatre-vingt-quatre,True,vigesimal,7,5,2,7,5,2,8,6,2,7,5,2,7,6,1
85,quatre-vingt-cinq,huitante-cinq,quatre-vingt-cinq,True,vigesimal,7,5,2,7,5,2,8,6,2,7,5,2,7,6,1
86,quatre-vingt-six,huitante-six,quatre-vingt-six,True,vigesimal,6,4,2,6,4,2,7,5,2,6,4,2,6,5,1
87,quatre-vingt-sept,huitante-sept,quatre-vingt-sept,True,vigesimal,7,5,2,7,5,2,8,6,2,7,5,2,7,6,1
88,quatre-vingt-huit,huitante-huit,quatre-vingt-huit,True,vigesimal,7,5,2,7,5,2,8,6,2,7,5,2,7,6,1
89,quatre-vingt-neuf,huitante-neuf,quatre-vingt-neuf,True,vigesimal,7,5,2,7,5,2,8,6,2,7,5,2,7,6,1
90,quatre-vingt-dix,nonante,nonante,True,vigesimal,7,2,5,7,2,5,8,2,6,7,2,5,7,2,5
91,quatre-vingt-onze,nonante et un,nonante et un,True,vigesimal,7,4,3,7,4,3,8,4,4,7,4,3,7,4,3
92,quatre-vingt-douze,nonante-deux,nonante-deux,True,vigesimal,8,4,4,8,4,4,9,5,4,8,5,3,8,5,3
93,quatre-vingt-treize,nonante-trois,nonante-trois,True,vigesimal,8,5,3,8,5,3,8,5,3,7,6,1,7,6,1
94,quatre-vingt-quatorze,nonante-quatre,nonante-quatre,True,vigesimal,8,4,4,8,4,4,9,5,4,8,5,3,8,5,3
95,quatre-vingt-quinze,nonante-cinq,nonante-cinq,True,vigesimal,8,4,4,8,4,4,8,5,3,7,5,2,7,5,2
96,quatre-vingt-seize,nonante-six,nonante-six,True,vigesimal,7,3,4,7,3,4,8,4,4,7,4,3,7,4,3
97,quatre-vingt-dix-sept,nonante-sept,nonante-sept,True,vigesimal,9,4,5,9,4,5,11,5,6,10,5,5,10,5,5
98,quatre-vingt-dix-huit,nonante-huit,nonante-huit,True,vigesimal,9,4,5,9,4,5,11,5,6,10,5,5,10,5,5
99,quatre-vingt-dix-neuf,nonante-neuf,nonante-neuf,True,vigesimal,9,4,5,9,4,5,11,5,6,10,5,5,10,5,5
100,cent,cent,cent,False,decimal,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
101,cent un,cent un,cent un,False,decimal,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
102,cent deux,cent deux,cent deux,False,decimal,2,2,0,2,2,0,3,3,0,2,2,0,2,2,0
103,cent trois,cent trois,cent trois,False,decimal,2,2,0,2,2,0,3,3,0,2,2,0,2,2,0
104,cent quatre,cent quatre,cent quatre,False,decimal,2,2,0,2,2,0,3,3,0,2,2,0,2,2,0
105,cent cinq,cent cinq,cent cinq,False,decimal,2,2,0,3,3,0,4,4,0,2,2,0,2,2,0
106,cent six,cent six,cent six,False,decimal,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
107,cent sept,cent sept,cent sept,False,decimal,2,2,0,2,2,0,3,3,0,2,2,0,2,2,0
108,cent huit,cent huit,cent huit,False,decimal,2,2,0,3,3,0,3,3,0,2,2,0,3,3,0
109,cent neuf,cent neuf,cent neuf,False,decimal,2,2,0,3,3,0,3,3,0,3,3,0,3,3,0
110,cent dix,cent dix,cent dix,False,decimal,2,2,0,3,3,0,3,3,0,2,2,0,3,3,0
111,cent onze,cent onze,cent onze,False,decimal,2,2,0,2,2,0,3,3,0,3,3,0,3,3,0
112,cent douze,cent douze,cent douze,False,decimal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
113,cent treize,cent treize,cent treize,False,decimal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
114,cent quatorze,cent quatorze,cent quatorze,False,decimal,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0
115,cent quinze,cent quinze,cent quinze,False,decimal,2,2,0,4,4,0,4,4,0,4,4,0,4,4,0
116,cent seize,cent seize,cent seize,False,decimal,2,2,0,2,2,0,2,2,0,3,3,0,3,3,0
117,cent dix-sept,cent dix-sept,cent dix-sept,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,6,6,0
118,cent dix-huit,cent dix-huit,cent dix-huit,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,6,6,0
119,cent dix-neuf,cent dix-neuf,cent dix-neuf,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,6,6,0
120,cent vingt,cent vingt,cent vingt,False,decimal,2,2,0,3,3,0,4,4,0,3,3,0,4,4,0
121,cent vingt et un,cent vingt et un,cent vingt et un,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,6,6,0
122,cent vingt-deux,cent vingt-deux,cent vingt-deux,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,7,7,0
123,cent vingt-trois,cent vingt-trois,cent vingt-trois,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,8,8,0
124,cent vingt-quatre,cent vingt-quatre,cent vingt-quatre,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,7,7,0
125,cent vingt-cinq,cent vingt-cinq,cent vingt-cinq,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,7,7,0
126,cent vingt-six,cent vingt-six,cent vingt-six,False,decimal,3,3,0,4,4,0,6,6,0,5,5,0,6,6,0
127,cent vingt-sept,cent vingt-sept,cent vingt-sept,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,7,7,0
128,cent vingt-huit,cent vingt-huit,cent vingt-huit,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,7,7,0
129,cent vingt-neuf,cent vingt-neuf,cent vingt-neuf,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,7,7,0
130,cent trente,cent trente,cent trente,False,decimal,2,2,0,3,3,0,4,4,0,3,3,0,3,3,0
131,cent trente et un,cent trente et un,cent trente et un,False,decimal,4,4,0,5,5,0,6,6,0,5,5,0,5,5,0
132,cent trente-deux,cent trente-deux,cent trente-deux,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,6,6,0
133,cent trente-trois,cent trente-trois,cent trente-trois,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,7,7,0
134,cent trente-quatre,cent trente-quatre,cent trente-quatre,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,6,6,0
135,cent trente-cinq,cent trente-cinq,cent trente-cinq,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,6,6,0
136,cent trente-six,cent trente-six,cent trente-six,False,decimal,3,3,0,4,4,0,6,6,0,5,5,0,5,5,0
137,cent trente-sept,cent trente-sept,cent trente-sept,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,6,6,0
138,cent trente-huit,cent trente-huit,cent trente-huit,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,6,6,0
139,cent trente-neuf,cent trente-neuf,cent trente-neuf,False,decimal,4,4,0,5,5,0,7,7,0,6,6,0,6,6,0
140,cent quarante,cent quarante,cent quarante,False,decimal,3,3,0,3,3,0,4,4,0,3,3,0,3,3,0
141,cent quarante et un,cent quarante et un,cent quarante et un,False,decimal,5,5,0,5,5,0,6,6,0,5,5,0,5,5,0
142,cent quarante-deux,cent quarante-deux,cent quarante-deux,False,decimal,5,5,0,5,5,0,7,7,0,6,6,0,6,6,0
143,cent quarante-trois,cent quarante-trois,cent quarante-trois,False,decimal,6,6,0,6,6,0,7,7,0,7,7,0,7,7,0
144,cent quarante-quatre,cent quarante-quatre,cent quarante-quatre,False,decimal,5,5,0,5,5,0,7,7,0,6,6,0,6,6,0
145,cent quarante-cinq,cent quarante-cinq,cent quarante-cinq,False,decimal,5,5,0,5,5,0,7,7,0,6,6,0,6,6,0
146,cent quarante-six,cent quarante-six,cent quarante-six,False,decimal,4,4,0,4,4,0,6,6,0,5,5,0,5,5,0
147,cent quarante-sept,cent quarante-sept,cent quarante-sept,False,decimal,5,5,0,5,5,0,7,7,0,6,6,0,6,6,0
148,cent quarante-huit,cent quarante-huit,cent quarante-huit,False,decimal,5,5,0,5,5,0,7,7,0,6,6,0,6,6,0
149,cent quarante-neuf,cent quarante-neuf,cent quarante-neuf,False,decimal,5,5,0,5,5,0,7,7,0,6,6,0,6,6,0
150,cent cinquante,cent cinquante,cent cinquante,False,decimal,3,3,0,4,4,0,4,4,0,4,4,0,4,4,0
151,cent cinquante et un,cent cinquante et un,cent cinquante et un,False,decimal,5,5,0,6,6,0,6,6,0,6,6,0,6,6,0
152,cent cinquante-deux,cent cinquante-deux,cent cinquante-deux,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,7,7,0
153,cent cinquante-trois,cent cinquante-trois,cent cinquante-trois,False,decimal,6,6,0,7,7,0,7,7,0,8,8,0,8,8,0
154,cent cinquante-quatre,cent cinquante-quatre,cent cinquante-quatre,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,7,7,0
155,cent cinquante-cinq,cent cinquante-cinq,cent cinquante-cinq,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,7,7,0
156,cent cinquante-six,cent cinquante-six,cent cinquante-six,False,decimal,4,4,0,5,5,0,6,6,0,6,6,0,6,6,0
157,cent cinquante-sept,cent cinquante-sept,cent cinquante-sept,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,7,7,0
158,cent cinquante-huit,cent cinquante-huit,cent cinquante-huit,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,7,7,0
159,cent cinquante-neuf,cent cinquante-neuf,cent cinquante-neuf,False,decimal,5,5,0,6,6,0,7,7,0,7,7,0,7,7,0
160,cent soixante,cent soixante,cent soixante,False,decimal,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0
161,cent soixante et un,cent soixante et un,cent soixante et un,False,decimal,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0
162,cent soixante-deux,cent soixante-deux,cent soixante-deux,False,decimal,6,6,0,6,6,0,7,7,0,7,7,0,7,7,0
163,cent soixante-trois,cent soixante-trois,cent soixante-trois,False,decimal,7,7,0,7,7,0,7,7,0,8,8,0,8,8,0
164,cent soixante-quatre,cent soixante-quatre,cent soixante-quatre,False,decimal,6,6,0,6,6,0,7,7,0,7,7,0,7,7,0
165,cent soixante-cinq,cent soixante-cinq,cent soixante-cinq,False,decimal,6,6,0,6,6,0,7,7,0,7,7,0,7,7,0
166,cent soixante-six,cent soixante-six,cent soixante-six,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
167,cent soixante-sept,cent soixante-sept,cent soixante-sept,False,decimal,6,6,0,6,6,0,7,7,0,7,7,0,7,7,0
168,cent soixante-huit,cent soixante-huit,cent soixante-huit,False,decimal,6,6,0,6,6,0,7,7,0,7,7,0,7,7,0
169,cent soixante-neuf,cent soixante-neuf,cent soixante-neuf,False,decimal,6,6,0,6,6,0,7,7,0,7,7,0,7,7,0
170,cent soixante-dix,cent septante,cent septante,False,decimal,6,3,3,6,3,3,7,4,3,7,3,4,7,3,4
171,cent soixante et onze,cent septante et un,cent septante et un,False,decimal,6,5,1,6,5,1,7,6,1,7,5,2,7,5,2
172,cent soixante-douze,cent septante-deux,cent septante-deux,False,decimal,7,5,2,7,5,2,8,7,1,8,6,2,8,6,2
173,cent soixante-treize,cent septante-trois,cent septante-trois,False,decimal,7,6,1,7,6,1,7,7,0,7,7,0,7,7,0
174,cent soixante-quatorze,cent septante-quatre,cent septante-quatre,False,decimal,7,5,2,7,5,2,8,7,1,8,6,2,8,6,2
175,cent soixante-quinze,cent septante-cinq,cent septante-cinq,False,decimal,7,5,2,7,5,2,7,7,0,7,6,1,7,6,1
176,cent soixante-seize,cent septante-six,cent septante-six,False,decimal,6,4,2,6,4,2,7,6,1,7,5,2,7,5,2
177,cent soixante-dix-sept,cent septante-sept,cent septante-sept,False,decimal,8,5,3,8,5,3,10,7,3,10,6,4,10,6,4
178,cent soixante-dix-huit,cent septante-huit,cent septante-huit,False,decimal,8,5,3,8,5,3,10,7,3,10,6,4,10,6,4
179,cent soixante-dix-neuf,cent septante-neuf,cent septante-neuf,False,decimal,8,5,3,8,5,3,10,7,3,10,6,4,10,6,4
180,cent quatre-vingts,cent huitante,cent quatre-vingt,False,decimal,5,3,2,5,4,1,6,4,2,5,3,2,5,4,1
181,cent quatre-vingt-un,cent huitante et un,cent quatre-vingt et un,False,decimal,6,5,1,6,6,0,8,6,2,7,5,2,7,6,1
182,cent quatre-vingt-deux,cent huitante-deux,cent quatre-vingt-deux,False,decimal,7,5,2,7,6,1,9,7,2,8,6,2,8,7,1
183,cent quatre-vingt-trois,cent huitante-trois,cent quatre-vingt-trois,False,decimal,8,6,2,8,7,1,9,7,2,9,7,2,9,8,1
184,cent quatre-vingt-quatre,cent huitante-quatre,cent quatre-vingt-quatre,False,decimal,7,5,2,7,6,1,9,7,2,8,6,2,8,7,1
185,cent quatre-vingt-cinq,cent huitante-cinq,cent quatre-vingt-cinq,False,decimal,7,5,2,7,6,1,9,7,2,8,6,2,8,7,1
186,cent quatre-vingt-six,cent huitante-six,cent quatre-vingt-six,False,decimal,6,4,2,6,5,1,8,6,2,7,5,2,7,6,1
187,cent quatre-vingt-sept,cent huitante-sept,cent quatre-vingt-sept,False,decimal,7,5,2,7,6,1,9,7,2,8,6,2,8,7,1
188,cent quatre-vingt-huit,cent huitante-huit,cent quatre-vingt-huit,False,decimal,7,5,2,7,6,1,9,7,2,8,6,2,8,7,1
189,cent quatre-vingt-neuf,cent huitante-neuf,cent quatre-vingt-neuf,False,decimal,7,5,2,7,6,1,9,7,2,8,6,2,8,7,1
190,cent quatre-vingt-dix,cent nonante,cent nonante,False,decimal,7,3,4,7,3,4,9,3,6,8,3,5,8,3,5
191,cent quatre-vingt-onze,cent nonante et un,cent nonante et un,False,decimal,7,5,2,7,5,2,9,5,4,8,5,3,8,5,3
192,cent quatre-vingt-douze,cent nonante-deux,cent nonante-deux,False,decimal,8,5,3,8,5,3,10,6,4,9,6,3,9,6,3
193,cent quatre-vingt-treize,cent nonante-trois,cent nonante-trois,False,decimal,8,6,2,8,6,2,9,6,3,8,7,1,8,7,1
194,cent quatre-vingt-quatorze,cent nonante-quatre,cent nonante-quatre,False,decimal,8,5,3,8,5,3,10,6,4,9,6,3,9,6,3
195,cent quatre-vingt-quinze,cent nonante-cinq,cent nonante-cinq,False,decimal,8,5,3,8,5,3,9,6,3,8,6,2,8,6,2
196,cent quatre-vingt-seize,cent nonante-six,cent nonante-six,False,decimal,7,4,3,7,4,3,9,5,4,8,5,3,8,5,3
197,cent quatre-vingt-dix-sept,cent nonante-sept,cent nonante-sept,False,decimal,9,5,4,9,5,4,12,6,6,11,6,5,11,6,5
198,cent quatre-vingt-dix-huit,cent nonante-huit,cent nonante-huit,False,decimal,9,5,4,9,5,4,12,6,6,11,6,5,11,6,5
199,cent quatre-vingt-dix-neuf,cent nonante-neuf,cent nonante-neuf,False,decimal,9,5,4,9,5,4,12,6,6,11,6,5,11,6,5
200,deux cents,deux cents,deux cents,False,decimal,3,3,0,3,3,0,3,3,0,3,3,0,2,2,0
201,deux cent un,deux cents un,deux cents un,False,decimal,4,4,0,4,4,0,4,4,0,3,4,-1,3,3,0
202,deux cent deux,deux cents deux,deux cents deux,False,decimal,4,4,0,4,4,0,5,5,0,3,4,-1,3,3,0
203,deux cent trois,deux cents trois,deux cents trois,False,decimal,4,4,0,4,4,0,5,5,0,3,4,-1,3,3,0
204,deux cent quatre,deux cents quatre,deux cents quatre,False,decimal,4,4,0,4,4,0,5,5,0,3,4,-1,3,3,0
205,deux cent cinq,deux cents cinq,deux cents cinq,False,decimal,4,4,0,5,5,0,6,6,0,3,4,-1,3,3,0
206,deux cent six,deux cents six,deux cents six,False,decimal,4,4,0,4,4,0,4,4,0,3,4,-1,3,3,0
207,deux cent sept,deux cents sept,deux cents sept,False,decimal,4,4,0,4,4,0,5,5,0,3,4,-1,3,3,0
208,deux cent huit,deux cents huit,deux cents huit,False,decimal,4,4,0,5,5,0,5,5,0,3,4,-1,4,4,0
209,deux cent neuf,deux cents neuf,deux cents neuf,False,decimal,4,4,0,5,5,0,5,5,0,4,5,-1,4,4,0
210,deux cent dix,deux cents dix,deux cents dix,False,decimal,4,4,0,5,5,0,5,5,0,3,4,-1,4,4,0
211,deux cent onze,deux cents onze,deux cents onze,False,decimal,4,4,0,4,4,0,5,5,0,4,5,-1,4,4,0
212,deux cent douze,deux cents douze,deux cents douze,False,decimal,5,5,0,5,5,0,5,5,0,4,5,-1,4,4,0
213,deux cent treize,deux cents treize,deux cents treize,False,decimal,5,5,0,5,5,0,5,5,0,4,5,-1,4,4,0
214,deux cent quatorze,deux cents quatorze,deux cents quatorze,False,decimal,6,6,0,6,6,0,6,6,0,5,6,-1,5,5,0
215,deux cent quinze,deux cents quinze,deux cents quinze,False,decimal,4,4,0,6,6,0,6,6,0,5,6,-1,5,5,0
216,deux cent seize,deux cents seize,deux cents seize,False,decimal,4,4,0,4,4,0,4,4,0,4,5,-1,4,4,0
217,deux cent dix-sept,deux cents dix-sept,deux cents dix-sept,False,decimal,6,6,0,7,7,0,8,8,0,6,7,-1,7,7,0
218,deux cent dix-huit,deux cents dix-huit,deux cents dix-huit,False,decimal,6,6,0,7,7,0,8,8,0,6,7,-1,7,7,0
219,deux cent dix-neuf,deux cents dix-neuf,deux cents dix-neuf,False,decimal,6,6,0,7,7,0,8,8,0,6,7,-1,7,7,0
