model,n1,n2,correct_std,correct_swiss,correct_mixed
claude-3.5-sonnet,81,79,True,True,True
claude-3.5-sonnet,99,90,True,True,True
claude-3.5-sonnet,77,97,True,True,False
claude-3.5-sonnet,76,86,True,False,False
claude-3.5-sonnet,70,87,True,True,False
claude-3.5-sonnet,89,97,True,True,True
claude-3.5-sonnet,74,91,True,True,True
claude-3.5-sonnet,96,78,True,True,True
claude-3.5-sonnet,86,80,True,True,True
claude-3.5-sonnet,85,72,True,True,True
claude-3.5-sonnet,83,84,True,True,False
claude-3.5-sonnet,87,83,True,True,True
claude-3.5-sonnet,79,70,True,True,True
claude-3.5-sonnet,75,81,True,False,False
claude-3.5-sonnet,79,96,True,True,True
claude-3.5-sonnet,96,81,True,True,True
claude-3.5-sonnet,82,93,True,True,True
claude-3.5-sonnet,86,93,True,True,True
claude-3.5-sonnet,87,84,True,True,True
claude-3.5-sonnet,74,88,True,True,False
claude-3.5-sonnet,81,87,True,True,True
claude-3.5-sonnet,73,89,True,True,False
claude-3.5-sonnet,77,89,True,True,False
claude-3.5-sonnet,93,73,True,True,True
claude-3.5-sonnet,82,71,True,True,True
claude-3.5-sonnet,77,71,True,True,True
llama-3.1-70b,82,76,False,True,False
llama-3.1-70b,72,92,True,True,True
llama-3.1-70b,96,81,True,False,True
llama-3.1-70b,79,96,False,True,True
llama-3.1-70b,72,95,True,True,True
llama-3.1-70b,79,91,True,True,True
llama-3.1-70b,78,96,True,True,True
llama-3.1-70b,71,78,True,True,False
llama-3.1-70b,76,80,True,False,False
llama-3.1-70b,95,90,True,True,True
llama-3.1-70b,94,79,True,False,False
llama-3.1-70b,84,75,True,True,False
llama-3.1-70b,94,88,False,True,True
llama-3.1-70b,86,71,True,True,True
llama-3.1-70b,84,70,True,True,False
llama-3.1-70b,81,73,False,True,True
llama-3.1-70b,93,86,True,True,True
llama-3.1-70b,94,95,True,True,True
llama-3.1-70b,87,84,True,True,True
llama-3.1-70b,85,88,True,True,False
llama-3.1-70b,94,78,True,True,True
llama-3.1-70b,90,71,True,True,True
llama-3.1-70b,78,93,True,True,True
llama-3.1-70b,95,70,True,True,False
llama-3.1-70b,81,79,True,True,True
llama-3.1-70b,99,90,True,True,True
llama-3.1-70b,77,97,False,True,True
llama-3.1-70b,76,86,True,False,False
llama-3.1-70b,70,87,True,True,True
llama-3.1-70b,89,97,True,True,False
llama-3.1-70b,74,91,True,True,True
llama-3.1-70b,96,78,True,True,True
llama-3.1-70b,86,80,True,True,True
llama-3.1-70b,85,72,True,True,True
llama-3.1-70b,83,84,False,True,False
llama-3.1-70b,87,83,True,True,True
llama-3.1-70b,79,70,True,True,True
llama-3.1-70b,75,81,True,True,True
llama-3.1-70b,79,96,True,True,True
llama-3.1-70b,96,81,True,True,True
llama-3.1-70b,82,93,True,True,True
llama-3.1-70b,86,93,True,True,True
llama-3.1-70b,87,84,True,True,True
llama-3.1-70b,74,88,True,True,True
llama-3.1-70b,81,87,True,False,False
llama-3.1-70b,73,89,True,True,True
llama-3.1-70b,77,89,True,True,True
llama-3.1-70b,93,73,True,True,True
llama-3.1-70b,82,71,True,True,True
llama-3.1-70b,77,71,True,False,True
